Acid gas,Temperature,HSAS,Velocity,Corrosion Rate,
0.213,113.4,2.1,1.9,0.040,
0.217,113.4,3.4,3.2,0.064,
0.199,106.9,4.3,4.2,0.170,
0.268,108.0,2.2,1.8,0.064,
0.262,108.0,3.3,2.9,0.133,
0.284,103.7,4.3,4.1,0.244,
0.414,103.7,2.2,1.9,0.064,
0.409,104.8,3.1,3.2,0.129,
0.414,112.3,4.4,4.5,0.269,
0.536,102.6,2.2,1.9,0.104,
0.530,102.6,3.2,2.9,0.194,
0.552,105.8,4.2,4.5,0.317,
0.590,108.0,2.2,1.9,0.103,
0.608,105.8,3.2,2.9,0.199,
0.615,106.9,4.3,4.3,0.326,
0.696,113.4,2.2,1.9,0.129,
0.731,109.1,3.3,3.2,0.286,
0.696,113.4,4.3,4.5,0.488,
0.844,113.4,2.0,2.0,0.164,
0.820,103.7,3.3,3.2,0.332,
0.803,109.1,4.1,4.4,0.607,
0.217,110.6,2.1,1.9,0.061,
0.205,116.3,3.6,2.9,0.122,
0.202,116.3,4.9,4.5,0.255,
0.274,116.3,2.3,2.0,0.105,
0.290,111.7,3.1,3.2,0.185,
0.265,110.6,4.6,4.3,0.481,
0.427,118.6,2.1,1.9,0.142,
0.422,111.7,3.2,2.9,0.278,
0.435,116.3,4.4,4.3,0.471,
0.574,119.7,2.1,1.9,0.152,
0.536,111.7,3.1,2.9,0.311,
0.536,118.6,4.2,4.4,0.672,
0.634,111.7,2.1,1.8,0.233,
0.621,118.6,3.2,3.2,0.489,
0.608,117.4,4.3,4.3,0.943,
0.710,118.6,2.4,2.0,0.289,
0.710,116.3,3.2,3.2,0.675,
0.718,110.6,4.2,4.2,1.342,
0.795,109.4,2.2,2.0,0.309,
0.795,111.7,3.3,3.2,0.688,
0.812,108.3,4.4,4.4,1.404,
0.205,119.7,2.3,2.0,0.183,
0.201,121.0,3.2,3.0,0.322,
0.201,128.5,4.0,4.2,0.689,
0.265,127.3,2.0,1.8,0.230,
0.284,127.3,3.0,2.9,0.458,
0.270,124.7,4.8,4.3,0.982,
0.398,124.7,2.2,1.9,0.229,
0.393,121.0,3.2,3.0,0.530,
0.419,128.5,4.6,4.1,1.135,
0.546,119.7,2.1,2.0,0.350,
0.558,132.3,3.4,3.0,0.663,
0.564,127.3,4.1,4.2,1.344,
0.596,128.5,2.1,1.9,0.313,
0.608,121.0,3.2,3.2,0.638,
0.590,123.5,4.2,4.2,1.556,
0.761,123.5,2.2,1.8,0.538,
0.696,129.8,3.7,2.9,1.050,
0.725,126.0,4.4,4.2,2.019,
0.853,122.2,2.1,1.8,0.688,
0.861,126.0,3.1,3.2,1.346,
0.869,127.3,4.1,4.5,2.011,
0.197,142.6,2.3,1.9,0.339,
0.199,146.9,3.3,2.9,0.633,
0.197,139.7,4.7,4.5,1.299,
0.274,144.0,2.1,1.8,0.320,
0.290,151.2,3.2,3.0,0.644,
0.270,145.4,4.4,4.3,1.390,
0.430,141.1,2.2,2.0,0.489,
0.398,146.9,3.3,3.2,0.940,
0.419,142.6,4.3,4.3,2.018,
0.580,142.6,2.3,1.9,0.489,
0.552,146.9,3.1,2.9,1.570,
0.558,136.8,4.8,4.1,3.108,
0.652,136.8,2.2,2.0,0.790,
0.603,136.8,3.3,2.9,1.563,
0.634,141.1,4.5,4.2,3.289,
0.739,142.6,2.2,1.9,0.993,
0.746,139.7,3.1,2.9,2.119,
0.718,142.6,4.6,4.2,3.160,
0.803,138.2,2.2,2.0,1.295,
0.803,148.3,3.0,3.2,2.387,
0.787,146.9,4.3,4.4,3.082,
0.213,151.3,2.0,1.8,0.529,
0.212,156.0,3.0,3.2,1.044,
0.207,157.6,4.9,4.3,1.882,
0.274,163.8,2.3,1.9,0.610,
0.282,148.2,3.3,2.9,1.329,
0.262,149.8,4.3,4.4,2.727,
0.435,159.1,2.4,1.9,0.826,
0.409,154.4,3.3,2.9,1.665,
0.398,154.4,4.4,4.4,3.336,
0.546,152.9,2.2,1.9,1.070,
0.580,157.6,3.2,3.2,2.305,
0.541,152.9,4.6,4.4,4.024,
0.608,157.6,2.1,2.0,1.262,
0.615,156.0,3.3,3.0,2.809,
0.627,160.7,4.2,4.4,4.640,
0.710,154.4,2.3,1.9,1.733,
0.753,148.2,3.0,2.9,3.114,
0.696,157.6,4.7,4.4,4.726,
0.844,154.4,2.1,1.9,1.810,
0.844,151.3,3.4,3.2,3.526,
0.795,160.7,4.4,4.1,4.728,
0.199,165.2,2.1,1.9,0.627,
0.205,165.2,3.5,2.9,1.356,
