x1,x2,x3,x4,y
0.1545,0.54,1.455,82.72,0.0285
0.1545,2.25,1.455,80.08,0.0505
0.1485,4.4,1.5,82.72,0.1261
0.27,0.55,1.545,93.28,0.0475
0.2425,2.3175,1.65,82.72,0.109
0.2625,4.08,1.425,85.36,0.214
0.357,0.47,1.425,95.04,0.052
0.357,2.34,1.515,88.88,0.095
0.371,4.4,1.5,88,0.188
0.4185,0.455,1.395,79.2,0.076
0.4545,2.1375,1.545,92.4,0.153
0.495,4.2,1.5,89.76,0.2625
0.5005,0.465,1.56,95.92,0.084
0.5005,2.4075,1.515,89.76,0.159
0.583,4,1.635,93.28,0.2325
0.6825,0.5,1.395,90.64,0.096
0.715,2.0475,1.425,88,0.182
0.6955,4.04,1.44,79.2,0.3686
0.651,0.485,1.395,86.24,0.1261
0.749,2.475,1.65,86.24,0.275
0.707,4.2,1.635,88,0.5253
0.147,0.455,1.425,85.56,0.05
0.144,2.475,1.56,93.93,0.092
0.153,4.04,1.62,83.7,0.216
0.2425,0.515,1.38,97.65,0.0752
0.2675,2.4525,1.56,91.14,0.1575
0.265,4.12,1.455,86.49,0.4028
0.385,0.485,1.455,91.14,0.096
0.3395,2.43,1.59,100.44,0.204
0.3815,4.2,1.635,87.42,0.3724
0.459,0.465,1.5,83.7,0.1378
0.495,2.475,1.545,97.65,0.25
0.414,3.92,1.635,94.86,0.5253
0.605,0.48,1.395,102.3,0.1908
0.5225,2.07,1.425,101.37,0.3496
0.5775,4.28,1.62,93.93,0.6916
0.6695,0.48,1.605,97.65,0.2254
0.663,2.07,1.425,91.14,0.5151
0.6305,4,1.515,92.07,1.0608
0.721,0.525,1.56,94.86,0.2325
0.658,2.385,1.545,93,0.4641
0.658,4.08,1.605,84.63,1.02
0.1365,0.49,1.515,98.8,0.1352
0.1485,2.475,1.5,107.12,0.275
0.1545,3.72,1.35,113.36,0.5559
0.2375,0.47,1.56,114.4,0.1764
0.2575,2.295,1.59,113.36,0.399
0.2475,4.4,1.35,111.28,0.7524
0.357,0.515,1.485,105.04,0.1836
0.3815,2.34,1.38,98.8,0.3838
0.336,4.24,1.35,94.64,0.9523
0.468,0.45,1.545,96.72,0.2375
0.405,2.2725,1.41,95.68,0.5202
0.4365,4.32,1.44,94.64,0.9894
0.5225,0.46,1.605,108.16,0.2725
0.561,2.25,1.38,95.68,0.4998
0.55,3.84,1.65,95.68,1.1742
0.702,0.5,1.44,106.08,0.3952
0.637,2.385,1.38,113.36,0.8208
0.6695,3.76,1.53,108.16,1.4896
0.637,0.525,1.62,114.4,0.5202
0.686,2.1375,1.59,104,0.9588
0.672,4.16,1.395,111.28,1.4288
0.147,0.525,1.605,122.96,0.23
0.144,2.025,1.485,110.2,0.4947
0.162,4.12,1.38,114.84,0.9792
0.2475,0.55,1.44,122.96,0.24
0.255,2.295,1.545,111.36,0.4896
0.255,4.08,1.65,126.44,1.0914
0.322,0.47,1.56,114.84,0.3838
0.343,2.475,1.35,107.88,0.7676
0.3465,3.64,1.62,112.52,1.52
0.414,0.495,1.62,114.84,0.3838
0.45,2.07,1.44,110.2,1.026
0.4635,3.96,1.35,104.4,2.4274
0.5555,0.495,1.575,121.8,0.5824
0.605,2.43,1.605,107.88,1.3716
0.5995,4.32,1.56,124.12,2.5146
0.6045,0.535,1.425,111.36,0.8132
0.6045,2.295,1.56,121.8,1.5048
0.6045,3.84,1.53,106.72,2.3114
0.728,0.55,1.395,105.56,1.0608
0.637,2.07,1.365,114.84,1.691
0.749,4.36,1.41,118.32,2.5908
0.147,0.45,1.59,127,0.3724
0.1635,2.1825,1.44,132.08,0.76
0.1425,4.4,1.485,128.27,1.368
0.27,0.505,1.575,132.08,0.4998
0.2275,2.025,1.56,128.27,1.0506
0.26,3.76,1.35,133.35,2.03
0.3675,0.495,1.5,137.16,0.6144
0.322,2.025,1.455,127,1.3208
0.3255,4.08,1.35,116.84,2.3876
0.4275,0.45,1.485,134.62,0.8099
0.423,2.3175,1.41,119.38,1.7266
0.4545,4.24,1.395,123.19,2.745
0.5885,0.455,1.545,121.92,1.0404
0.495,2.25,1.455,132.08,2.1112
0.5665,3.84,1.365,135.89,3.6312
0.6565,0.485,1.605,138.43,1.3716
0.689,2.16,1.575,121.92,2.1526
0.6435,3.6,1.38,130.81,3.204
0.665,0.46,1.56,130.81,1.52
0.644,2.025,1.515,123.19,2.5146
0.721,3.96,1.605,128.27,3.7338
0.1395,0.45,1.47,134.64,0.4794
0.138,2.295,1.35,143.88,1.0404
0.138,3.88,1.38,145.2,3.3245
0.2725,0.545,1.65,135.96,0.6016
0.23,2.1375,1.605,121.44,1.2065
0.255,4.24,1.44,125.4,2.7178
0.3325,0.485,1.605,139.92,0.7752
0.35,2.0475,1.575,126.72,2.7686
0.3395,3.88,1.425,126.72,3.7338
0.4815,0.465,1.59,125.4,1.0488
0.4455,2.34,1.455,130.68,2.4961
0.495,4.08,1.38,122.76,4.0386
0.5995,0.485,1.515,121.44,1.3716
0.55,2.2275,1.53,120.12,2.6924
0.5555,3.6,1.515,141.24,3.7758
0.598,0.51,1.38,129.36,1.5808
0.6175,2.1825,1.365,143.88,2.5654
0.6435,4,1.515,124.08,4.466
0.707,0.485,1.62,141.24,1.6732
0.77,2.295,1.365,128.04,3.2635
0.637,3.6,1.56,120.12,4.1904
0.1365,0.45,3.12,80.96,0.0792
0.144,2.3625,2.85,95.04,0.141
0.1455,4.08,3.18,94.16,0.3458
0.2475,0.465,2.85,86.24,0.1425
0.235,2.0925,3.12,80.96,0.2275
0.2275,4.12,3.15,93.28,0.6656
0.378,0.475,2.85,81.84,0.147
0.385,2.34,3.06,85.36,0.2575
0.336,3.84,3.12,95.92,0.6784
0.4275,0.46,2.88,88,0.2208
0.4545,2.16,2.88,80.96,0.418
0.4275,3.68,3.09,87.12,0.7676
0.5885,0.51,3.12,87.12,0.2484
0.5445,2.4525,3.15,88.88,0.5406
0.5555,3.8,2.73,93.28,0.8284
0.6435,0.45,3.15,79.2,0.23
0.598,2.4525,2.88,88,0.3686
0.6565,4.2,3.18,79.2,0.9434
0.735,0.45,3.3,83.6,0.3572
0.714,2.3175,2.94,96.8,0.6916
0.658,3.96,3.09,88,1.2084
0.1395,0.455,2.88,83.7,0.144
0.162,2.475,2.73,93,0.27
0.1425,4.12,2.94,90.21,0.608
0.2325,0.52,3.27,89.28,0.2185
0.24,2.115,3.06,83.7,0.5253
0.2275,4,3.09,101.37,1.1058
0.385,0.49,3.24,96.72,0.2675
0.3675,2.1375,3.27,93,0.6976
0.385,3.8,2.94,91.14,0.9996
0.45,0.5,2.73,91.14,0.3686
0.4905,2.16,3.09,100.44,0.7068
0.459,3.76,3.15,100.44,0.9384
0.5555,0.53,2.7,88.35,0.5559
0.539,2.205,2.76,88.35,1.1172
0.5995,3.72,2.88,83.7,1.4744
0.611,0.545,3.06,94.86,0.7448
0.6695,2.4075,3.06,84.63,1.071
0.598,4.28,2.91,100.44,1.9285
0.742,0.52,3.24,86.49,0.6992
0.679,2.43,3.12,98.58,1.5504
0.714,3.92,3.06,98.58,1.8879
0.1425,0.46,3.12,101.92,0.3648
0.162,2.1375,2.94,104,0.7068
0.1635,4.2,2.94,100.88,1.5504
0.2425,0.55,2.88,109.2,0.5559
0.2675,2.1375,2.94,107.12,1.1016
0.225,4.08,3.09,110.24,1.5048
0.3185,0.475,3.06,97.76,0.51
0.3255,2.115,2.76,106.08,1.0488
0.371,4.4,3.06,110.24,1.8156
0.459,0.53,3.24,104,0.8424
0.4455,2.1375,3.18,110.24,1.6568
0.4365,3.72,3.24,95.68,1.8879
0.572,0.535,3,110.24,0.7144
0.517,2.475,2.91,105.04,1.5048
0.5335,3.84,2.91,101.92,2.4732
0.6955,0.51,2.7,101.92,1.122
0.611,2.1825,3.09,93.6,1.6112
0.585,3.64,3,112.32,2.6416
0.686,0.545,2.94,100.88,1.444
0.742,2.34,2.85,94.64,1.8879
0.728,4.4,2.73,105.04,2.3114
0.135,0.55,2.7,113.68,0.6992
0.141,2.3175,3.09,112.52,1.6416
0.1485,4.36,3.18,116,1.9488
0.2625,0.465,3.15,110.2,0.6992
0.2625,2.2275,2.7,113.68,1.3081
0.2675,4,2.7,114.84,2.2127
0.3815,0.55,2.79,122.96,1.0506
0.3605,2.3625,2.73,104.4,1.4896
0.3535,4.4,3.03,118.32,2.413
0.441,0.54,2.73,112.52,1.254
0.4185,2.2275,3.03,113.68,2.519
0.468,3.76,2.94,127.6,3.0805
0.517,0.49,3.09,121.8,2.0437
0.5005,2.205,3.18,106.72,2.5146
0.572,3.8,2.97,120.64,4.1148
0.6565,0.48,2.91,113.68,2.54
0.624,2.25,3.15,106.72,2.7178
0.624,3.92,2.73,124.12,4.191
0.63,0.55,2.85,124.12,2.3114
0.742,2.4525,3.03,125.28,2.9585
0.77,4.08,3.21,109.04,3.4671
0.1575,0.495,3.27,118.11,1.0488
0.162,2.115,3.09,133.35,2.3587
0.1515,3.76,2.79,116.84,2.9585
0.2375,0.45,3.15,130.81,1.3984
0.26,2.34,3.24,120.65,1.8676
0.245,4.16,2.85,123.19,2.867
