AmineConc,AmineFlow,ReboilerDuty,Regen Bottoms - AcidGas Loading
%,USGPM,MMBtu/hr,
40,80,5,0.003501
40,80,5.5,0.003352
40,80,6,0.003229
40,80,6.5,0.003126
40,80,7,0.003037
40,95,5,0.00404
40,95,5.5,0.003843
40,95,6,0.003687
40,95,6.5,0.003557
40,95,7,0.003447
40,110,5,0.004617
40,110,5.5,0.004347
40,110,6,0.004147
40,110,6.5,0.003987
40,110,7,0.003852
40,125,5,0.005278
40,125,5.5,0.004871
40,125,6,0.004608
40,125,6.5,0.004408
40,125,7,0.004247
40,140,5,0.00637
40,140,5.5,0.005457
40,140,6,0.00508
40,140,6.5,0.004825
40,140,7,0.004629
41,80,5,0.003287
41,80,5.5,0.003153
41,80,6,0.003042
41,80,6.5,0.002949
41,80,7,0.002868
41,95,5,0.003779
41,95,5.5,0.0036
41,95,6,0.003459
41,95,6.5,0.003343
41,95,7,0.003243
41,110,5,0.004304
41,110,5.5,0.004058
41,110,6,0.003877
41,110,6.5,0.003733
41,110,7,0.003612
41,125,5,0.004906
41,125,5.5,0.004533
41,125,6,0.004294
41,125,6.5,0.004114
41,125,7,0.003968
41,140,5,0.0059
41,140,5.5,0.005067
41,140,6,0.004722
41,140,6.5,0.004491
41,140,7,0.004314
42,80,5,0.003081
42,80,5.5,0.00296
42,80,6,0.002861
42,80,6.5,0.002777
42,80,7,0.002705
42,95,5,0.003528
42,95,5.5,0.003367
42,95,6,0.00324
42,95,6.5,0.003135
42,95,7,0.003046
42,110,5,0.004003
42,110,5.5,0.003781
42,110,6,0.003618
42,110,6.5,0.003488
42,110,7,0.00338
42,125,5,0.00455
42,125,5.5,0.004209
42,125,6,0.003993
42,125,6.5,0.003831
42,125,7,0.003701
42,140,5,0.00545
42,140,5.5,0.004693
42,140,6,0.004379
42,140,6.5,0.004171
42,140,7,0.004012
43,80,5,0.002883
43,80,5.5,0.002774
43,80,6,0.002686
43,80,6.5,0.002611
43,80,7,0.002546
43,95,5,0.003287
43,95,5.5,0.003142
43,95,6,0.003029
43,95,6.5,0.002936
43,95,7,0.002856
43,110,5,0.003716
43,110,5.5,0.003515
43,110,6,0.003369
43,110,6.5,0.003253
43,110,7,0.003157
43,125,5,0.004209
43,125,5.5,0.0039
43,125,6,0.003705
43,125,6.5,0.003561
43,125,7,0.003444
43,140,5,0.005022
43,140,5.5,0.004337
43,140,6,0.004053
43,140,6.5,0.003865
43,140,7,0.003723
44,80,5,0.002692
44,80,5.5,0.002596
44,80,6,0.002517
44,80,6.5,0.00245
44,80,7,0.002393
44,95,5,0.003056
44,95,5.5,0.002927
44,95,6,0.002826
44,95,6.5,0.002743
44,95,7,0.002673
44,110,5,0.003441
44,110,5.5,0.003261
44,110,6,0.003131
44,110,6.5,0.003028
44,110,7,0.002943
44,125,5,0.003885
44,125,5.5,0.003606
44,125,6,0.003431
44,125,6.5,0.003302
44,125,7,0.003199
44,140,5,0.004617
44,140,5.5,0.003999
44,140,6,0.003742
44,140,6.5,0.003574
44,140,7,0.003448
45,80,5,0.002509
45,80,5.5,0.002424
45,80,6,0.002354
45,80,6.5,0.002295
45,80,7,0.002245
45,95,5,0.002835
45,95,5.5,0.00272
45,95,6,0.002631
45,95,6.5,0.002558
45,95,7,0.002496
45,110,5,0.003179
45,110,5.5,0.003018
45,110,6,0.002903
45,110,6.5,0.002812
45,110,7,0.002737
45,125,5,0.003577
45,125,5.5,0.003326
45,125,6,0.00317
45,125,6.5,0.003056
45,125,7,0.002965
45,140,5,0.004233
45,140,5.5,0.003679
45,140,6,0.003448
45,140,6.5,0.003298
45,140,7,0.003187
,,,
,,,
,,,
,,,
,,,
,,,
