"Time, s","Temperature, C"
1,17.4
2,16.2
3,19.8
4,17.8
5,18.6
6,18.3
7,21.5
8,18.6
9,22.4
10,20.7
11,23
12,21.7
13,21.4
14,21.9
15,20.6
16,21.2
17,17.1
18,17.3
19,17.1
20,15.9
21,13.9
22,15.5
23,13.7
24,13.5
25,13.8
26,13.6
27,14.6
28,14.3
29,16.9
30,19.4
31,18.7
32,22.2
33,20.8
34,20
35,19.5
36,15.7
37,15.8
38,16.1
39,15.9
40,13.7
41,13.5
42,15.1
43,12.7
44,13.9
45,13.1
46,13.3
47,13.1
48,11.9
49,11.5
50,12.4
51,11.9
52,12.8
53,12.1
54,14.1
55,17
56,15.6
57,17.6
58,17.9
59,16.6
60,13.2
61,12.9
62,15.2
63,15
64,16.6
65,13.7
66,14.2
67,12.5
68,15
69,15
70,16.8
71,19.5
72,19.8
73,20.6
74,20.4
75,21.8
76,22.7
77,20.6
78,23.3
79,18.7
80,20.2
81,17.7
82,16.9
83,15.9
84,13.7
85,15
86,13.1
87,13.1
88,15.2
89,17.7
90,18.2
91,16.2
92,15.9
93,16.2
94,15
95,15.5
96,18
97,18.7
98,19.4
99,21.4
100,19.6
101,21.6
102,19.8
103,18.5
104,19.3
105,15.9
106,14.6
107,12.9
108,14.6
109,12.6
110,14.1
111,12.4
112,14.3
113,14.6
114,12.6
115,12.4
116,11.9
117,12
118,13
119,11.9
120,14.4
121,12.6
122,14.9
123,16.9
124,16.9
125,17.1
126,18.7
127,19.5
128,19.5
129,18.5
130,21.5
131,16.4
132,16.8
133,18.7
134,21.1
135,21.8
136,22.3
137,19.9
138,23.5
139,22.3
140,21.4
141,24.3
142,20.3
143,20.7
144,24.2
145,23.1
146,20.8
147,24.4
148,23
149,24.2
150,23.1
151,22
152,22.3
153,21.8
154,21.3
155,22.1
156,22.2
157,24.4
158,20
159,22
160,24.4
161,23.9
162,23
163,20.6
164,20.7
165,21.8
166,18.8
167,22.8
168,21.9
169,18.7
170,17
171,16.6
172,17.9
173,15.8
174,17.9
175,19.6
176,18.1
177,20.6
178,22.8
179,19.9
180,18.5
181,17.7
182,16.1
183,16.6
184,16.3
185,15
186,13.7
187,14.8
188,13.7
189,14.4
