"Feed temperature, °C","Feed pressure, kPa","Liquid 1 mass flow, kg/h","Liquid 2 mass flow, kg/h",Liquid 2 mass fraction (glycerol),Liquid 1 mass fraction (glycerol)
10,-0.01378,2447,455.5,0.5271,0
10,0.1089,2447,455.5,0.5271,0
10,0.2316,2447,455.5,0.5271,0
10,0.3543,2447,455.5,0.5271,0
10,0.4769,2447,455.5,0.5271,0
10,0.5996,2447,455.5,0.5271,0
10,0.7223,2447,455.5,0.5271,0
10,0.845,2447,455.5,0.5271,0
10,0.9677,2447,455.5,0.5271,0
10,1.09,2447,455.5,0.5271,0
10,1.213,2447,455.5,0.5271,0
10,1.336,2447,455.5,0.5271,0
10,1.458,2447,455.5,0.5271,0
10,1.581,2447,455.5,0.5271,0
10,1.704,2447,455.5,0.5271,0
10,1.826,2447,455.5,0.5271,0
10,1.949,2447,455.5,0.5271,0
10,2.072,2447,455.5,0.5271,0
10,2.194,2447,455.5,0.5271,0
10,2.317,2447,455.5,0.5271,0
10,2.44,2447,455.5,0.5271,0
10,2.562,2447,455.5,0.5271,0
10,2.685,2447,455.5,0.5271,0
10,2.808,2447,455.5,0.5271,0
10,2.931,2447,455.5,0.5271,0
10,3.053,2447,455.5,0.5271,0
10,3.176,2447,455.5,0.5271,0
10,3.299,2447,455.5,0.5271,0
10,3.421,2447,455.5,0.5271,0
10,3.544,2447,455.5,0.5271,0
10,3.667,2447,455.5,0.5271,0
10,3.789,2447,455.5,0.5271,0
10,3.912,2447,455.5,0.5271,0
10,4.035,2447,455.5,0.5271,0
10,4.157,2447,455.5,0.5271,0
10,4.28,2447,455.5,0.5271,0
10,4.403,2447,455.5,0.5271,0
10,4.525,2447,455.5,0.5271,0
10,4.648,2447,455.5,0.5271,0
10,4.771,2447,455.5,0.5271,0
10,4.893,2447,455.5,0.5271,0
10,5.016,2447,455.5,0.5271,0
10,5.139,2447,455.5,0.5271,0
10,5.261,2447,455.5,0.5271,0
10,5.384,2447,455.5,0.5271,0
10,5.507,2447,455.5,0.5271,0
10,5.629,2447,455.5,0.5271,0
10,5.752,2447,455.5,0.5271,0
10,5.875,2447,455.5,0.5271,0
10,5.997,2447,455.5,0.5271,0
12.83,-0.01378,2447,455.5,0.5271,0
12.83,0.1089,2447,455.5,0.5271,0
12.83,0.2316,2447,455.5,0.5271,0
12.83,0.3543,2447,455.5,0.5271,0
12.83,0.4769,2447,455.5,0.5271,0
