Temperature,Wind
21.2,3.6
22.9,4
21,6.3
17.7,5.7
12,7.1
17.2,5.7
19.6,4.6
13.8,5.9
16.1,10.1
21.2,3.7
23.1,3
19.7,3.8
17.4,4.6
21.8,4.2
15.6,6.9
16,5.1
18.5,5.5
13.5,7
18,4.9
15.2,3.7
15.8,4.7
20.7,8.4
16.4,4.1
15.3,4.9
12.9,7.5
15.3,7.9
13.9,3.7
21,5.1
25.3,7.9
24,2.6
22.7,3.3
24.3,3.3
22.6,3.5
20.2,6.6
28.6,3.7
32.4,3.8
28.5,6.2
27.8,3.6
32.7,3.1
29,5.9
30.9,5.6
30.5,3.9
30.7,3.3
28.6,3.1
24.3,5.2
26.1,6.2
26.8,6.5
20,7.7
17.1,4.9
20.7,4.7
25.2,4.4
25.5,2.6
22,0.6
24.2,1.7
26.2,3
23.2,3.5
28.1,3.6
23.5,5.5
25.3,4.9
25.3,6.2
31.2,3
29.2,1.9
27.7,4.1
29.9,3.4
27.4,4.3
27.8,2.1
27.5,4.9
30.2,2.1
36.7,2.6
34.3,2.3
31,3.2
28.9,3.6
21.9,6.8
27,6.3
31.8,7.3
26.9,6
28.9,2.5
25.3,3.8
26,3.4
29.3,2.6
30.6,6
21.2,2.8
24.5,4.3
25.8,5.7
30.9,4.2
31.8,4.2
29.2,3.2
30.3,5
29.6,4
29.7,3.8
27.8,4
28.3,4.5
27,3.6
25,4.9
25.6,2.7
30.3,3.7
27.7,3.2
31.2,2.3
31.4,1.9
34.5,5.1
30,3
36,4
31.8,5.1
27.9,4.6
29.4,4.3
28.3,4.2
24,5.6
26.8,5
24.3,3.4
25.7,3.6
23.8,5.5
28.1,5.5
24.8,8.3
21.3,5.1
22.7,5.2
23.8,4.5
26.7,1.8
28.2,3.7
33.9,2.1
32.5,4.4
37.5,0.8
33.8,3.3
35.1,2.9
30.5,3.6
31.7,2.7
30.5,1.4
34.9,1.9
32.1,2.8
26.3,7.3
28.8,5.7
23.3,5.3
24.1,5.4
24.1,3.9
27,6
22.7,6
25.3,3.3
20.4,5.7
19.9,5.4
25,2.9
