Alcohol,Phenols,Flavanoids,Nonflavanoid_Phenols,Color,Acid
22.54,3.79,3.67,0.35,5.63,1.81
21.54,3.27,3.44,0.31,4.74,1.85
20.63,3.75,3.77,0.37,6.08,2.6
22.76,5.06,4.02,0.28,8.03,1.99
21.18,3.64,3.2,0.48,4.72,2.72
22.72,4.46,4.19,0.4,6.87,1.87
23.94,3.15,2.9,0.37,5.46,1.92
22.72,3.31,2.95,0.36,5.2,2.21
23.97,3.49,3.61,0.37,5.73,1.65
22.62,4.07,3.78,0.28,7.88,1.49
21.43,3.64,4.02,0.27,6.34,2.25
21.46,2.89,2.92,0.3,5.2,1.55
22,3.45,3.31,0.36,5.64,1.89
24.78,4.19,4.65,0.54,5.9,1.83
23.93,4.16,4.41,0.33,7.64,1.98
21.59,3.89,3.49,0.36,7.89,1.96
21.74,3.64,3.65,0.4,6.25,1.98
21.02,3.99,4.04,0.48,6.86,1.68
22.48,4.16,4.81,0.37,9.5,1.64
22.04,3.47,3.75,0.2,5.19,3.09
22.95,3.9,3.88,0.3,5.75,1.68
19.65,3.16,2.89,0.31,4.77,3.87
22.59,3.33,3.35,0.34,4.07,1.86
21.59,3.22,2.99,0.31,4.21,1.65
22.25,3.16,2.98,0.35,3.59,1.96
20.67,3.42,3.15,0.56,3.72,2.15
21.85,3.74,3.7,0.4,5.19,1.93
22.34,3.09,2.55,0.34,4.23,1.9
21.53,3.99,3.67,0.43,4.87,2.07
21.98,3.38,2.94,0.3,4.94,1.73
21.09,4.06,4.06,0.36,5.75,1.58
22.6,3.76,3.64,0.27,7.32,1.69
21.67,3.05,3.07,0.5,3.91,1.94
22.02,3.72,3.45,0.62,5.61,1.59
21.18,3.09,2.88,0.37,4.23,1.81
21.14,3.65,3.43,0.32,5.25,1.98
21.89,3.31,3.28,0.41,5.07,1.69
20.88,3.22,2.89,0.34,4.33,1.7
20.28,3.18,3.23,0.34,3.77,1.65
22.98,3.74,3.72,0.23,5.57,4.23
22.78,4.05,3.79,0.43,6.18,1.83
21.89,3.12,3.06,0.33,4.45,3.83
22.87,4.1,4.44,0.19,5.53,2.02
21.18,3.53,3.09,0.37,4.44,4.39
21.51,4.1,3.46,0.35,5.13,1.9
22.74,3.85,3.12,0.36,5.28,4.33
23.01,4.23,3.73,0.31,5.2,3.69
21.8,3.91,4.15,0.24,6.6,1.78
21.66,3.43,3.36,0.38,6.64,2.04
21.41,3.89,4.16,0.4,9.81,1.78
21.92,3.5,3.81,0.2,7.71,1.82
22.79,3.15,3.41,0.27,5.82,1.77
21.89,4.94,4.67,0.39,7.48,1.91
21.59,3.78,3.45,0.48,6.28,2.05
21.1,3.24,3.55,0.24,6.27,1.79
20.61,4,3.4,0.24,6.69,1.89
22.98,4.16,3.67,0.33,6.97,1.87
20.2,4.06,3.8,0.38,6.3,1.99
21.51,4.24,4.32,0.24,7,1.47
20.39,2.5,0.67,0.32,2.13,1.02
20.71,2.74,1.24,0.76,3.3,1.2
20.02,2.76,1.64,0.64,6.16,1.44
21.65,2.73,2.17,0.37,3.83,1.25
19.99,4.64,3.72,0.22,4.53,1.15
20.25,2.48,2.14,0.57,3.16,1.48
19.4,3.21,3.31,0.44,4.59,1.26
20.35,3.68,3.7,0.31,5.51,1.02
19.2,2.74,2.47,0.33,4.72,1.28
21.56,3.42,1.61,0.63,3.16,0.95
18.95,2.43,1.46,0.17,2.96,1.3
20.45,1.37,1.16,0.45,3.14,1.64
22.84,3.76,3.5,0.26,3.44,1.59
22.45,2.47,2.32,0.32,3.77,1.74
21.82,4.38,3.54,0.25,3.52,1.74
19.71,4.26,2.59,0.15,3.4,1.13
18.47,2.2,1.98,0.39,3.95,2.03
20.01,2.59,2.44,0.3,4.93,0.98
19.32,2.21,1.5,0.51,2.92,3.19
18.94,2.37,2.24,0.42,3.43,1.04
19.51,3.64,2.94,0.52,2.75,4.06
18.82,3.21,2.77,0.38,2.52,0.96
20.56,2.97,3.1,0.32,4.26,1.86
18.75,2.65,1.99,0.49,2.4,1.25
21.51,2.1,1.81,0.75,4.79,4.17
18.19,2.86,2.55,0.27,3.17,0.91
20.27,2.72,2.28,0.35,2.78,1.08
19.65,2.27,1.95,0.51,2.62,1.71
17.89,2.52,1.93,0.47,2.59,1.72
19,2.41,2.07,0.6,3.06,2.25
18.94,2.75,1.91,0.52,1.83,1.47
19.52,2.02,1.8,0.65,2.6,1.83
19.58,1.87,1.47,0.61,3.82,1.65
19.29,1.74,1.82,0.68,3.23,1.56
19.66,3.25,2.7,0.31,2.23,3.12
18.78,4,2.79,0.2,3.55,2.19
18.95,3.12,2.59,0.39,2.7,1.53
18.33,2.16,1.21,0.16,2.65,2.25
19.07,3.41,3.15,0.34,3.08,1.54
19,4.67,4.41,0.3,4.96,1.12
