Station,Year,PM,
S1,2012,324,
S2,2012,353,
S3,2012,357,
S4,2012,337,
S5,2012,344,
S6,2012,337,
S7,2012,329,
S8,2012,358,
S1,2013,331,
S2,2013,323,
S3,2013,327,
S4,2013,336,
S5,2013,324,
S6,2013,314,
S7,2013,339,
S8,2013,324,
S1,2014,338,
S2,2014,332,
S3,2014,346,
S4,2014,335,
S5,2014,325,
S6,2014,299,
S7,2014,343,
S8,2014,334,
S1,2015,363,
S2,2015,328,
S3,2015,345,
S4,2015,321,
S5,2015,350,
S6,2015,331,
S7,2015,323,
S8,2015,357,
S1,2016,320,
S2,2016,327,
S3,2016,347,
S4,2016,296,
S5,2016,327,
S6,2016,320,
S7,2016,304,
S8,2016,337,
S1,2017,359,
S2,2017,331,
S3,2017,339,
S4,2017,334,
S5,2017,324,
S6,2017,320,
S7,2017,329,
S8,2017,321,
S1,2018,344,
S2,2018,322,
S3,2018,343,
S4,2018,327,
S5,2018,353,
S6,2018,344,
S7,2018,329,
S8,2018,311,
S1,2019,323,
S2,2019,335,
S3,2019,337,
S4,2019,343,
S5,2019,314,
S6,2019,329,
S7,2019,307,
S8,2019,306,
S1,2020,342,
S2,2020,347,
S3,2020,328,
S4,2020,319,
S5,2020,338,
S6,2020,330,
S7,2020,340,
S8,2020,308,
S1,2021,332,
S2,2021,330,
S3,2021,299,
S4,2021,301,
S5,2021,345,
S6,2021,302,
S7,2021,317,
S8,2021,315,
S1,2022,331,
S2,2022,357,
S3,2022,355,
S4,2022,319,
S5,2022,345,
S6,2022,332,
S7,2022,322,
S8,2022,311,
