Salt,Temperature,Concentration,DC,,
0.0,0.38,0.324,0.056,,
0.0,0.38,0.489,0.132,,
0.0,0.38,0.588,0.180,,
0.0,0.38,0.658,0.260,,
0.0,0.38,0.735,0.299,,
0.0,0.38,0.751,0.349,,
0.0,0.38,0.935,0.404,,
0.0,0.38,0.961,0.828,,
0.8,0.24,0.035,0.095,,
0.8,0.27,0.038,0.107,,
0.8,0.30,0.048,0.110,,
0.8,0.38,0.077,0.100,,
0.8,0.53,0.127,0.101,,
0.8,0.68,0.226,0.111,,
0.8,0.83,0.277,0.116,,
0.2,0.17,0.111,0.417,,
0.2,0.20,0.138,0.412,,
0.2,0.23,0.141,0.466,,
0.2,0.26,0.139,0.435,,
0.2,0.30,0.172,0.458,,
0.2,0.38,0.192,0.417,,
0.2,0.53,0.274,0.461,,
0.6,0.15,0.047,0.475,,
0.6,0.27,0.060,0.471,,
0.6,0.27,0.060,0.457,,
0.6,0.30,0.069,0.448,,
0.6,0.38,0.123,0.493,,
0.6,0.45,0.166,0.457,,
0.6,0.53,0.198,0.397,,
0.6,0.60,0.237,0.444,,
0.6,0.75,0.297,0.414,,
0.6,0.90,0.455,0.480,,
0.6,0.70,0.458,0.409,,
0.8,0.27,0.024,0.444,,
0.8,0.35,0.033,0.414,,
0.8,0.38,0.040,0.426,,
0.8,0.45,0.061,0.444,,
0.8,0.53,0.081,0.414,,
0.8,0.60,0.105,0.431,,
0.8,0.68,0.163,0.453,,
0.8,0.75,0.252,0.412,,
0.8,0.83,0.315,0.414,,
0.8,0.90,0.390,0.398,,
0.8,0.98,0.387,0.418,,
0.8,0.75,0.499,0.422,,
0.8,0.85,0.590,0.475,,
0.9,0.30,0.016,0.453,,
0.9,0.38,0.025,0.489,,
0.9,0.45,0.047,0.422,,
0.9,0.53,0.059,0.447,,
0.9,0.60,0.082,0.453,,
0.9,0.75,0.183,0.430,,
1.0,0.26,0.010,0.440,,
1.0,0.30,0.012,0.465,,
1.0,0.38,0.019,0.405,,
1.0,0.45,0.030,0.471,,
1.0,0.60,0.060,0.406,,
1.0,0.75,0.136,0.401,,
0.1,0.38,0.218,0.216,,
0.1,0.38,0.242,0.356,,
0.1,0.38,0.279,0.535,,
0.1,0.38,0.317,0.619,,
0.1,0.38,0.360,0.720,,
0.1,0.38,0.441,1.040,,
0.8,0.29,0.023,0.398,,
0.8,0.30,0.030,0.461,,
0.8,0.32,0.031,0.389,,
0.8,0.33,0.030,0.431,,
0.1,0.38,0.198,0.029,,
0.1,0.38,0.235,0.204,,
0.1,0.38,0.253,0.433,,
0.1,0.38,0.308,0.719,,
