Fecha,Concentration,PCR_hospital
1,0.0582401,822
2,0.0662186,1086
3,0.0867363,5973
4,0.0922278,1380
5,0.1134105,739
6,0.118294,2702
7,0.147805,7209
8,0.1557296,598
9,0.1517175,3975
10,0.2141,2206
11,0.213493,1051
12,0.2209536,6616
13,0.2539169,1200
14,0.2939136,6526
15,0.321825,1454
16,0.316882,1768
17,0.3773175,2983
18,0.4095322,2349
19,0.4377024,2250
20,0.4419996,865
21,0.4825695,1990
22,0.50409,3321
23,0.5801352,3537
24,0.5727348,2744
25,0.6176049,4546
26,0.6046502,2504
27,0.6539104,3085
28,0.6665715,4534
29,0.6938925,13816
30,0.6727823,3681
31,0.7150914,2901
32,0.822339,2905
33,0.8592582,7342
34,2.1354795,34640
35,3.0008741,42780
