socioecoA,socioecoB,socioecoC,socioecoD,raceR2,birthplaceL2,parityY,chemical,Prob
1,0,0,0,0,0,1,1,0.29551
1,0,0,0,0,0,0,0,0.00069
1,0,0,0,0,1,1,0,0.00233
1,0,0,0,0,1,0,1,0.25442
1,0,0,0,1,0,1,0,0.00506
1,0,0,0,1,0,0,1,0.21575
1,0,0,0,1,1,1,0,0.00049
1,0,0,0,1,1,0,0,0.00057
0,1,0,0,0,0,1,1,0.25091
0,1,0,0,0,0,0,0,0.00328
0,1,0,0,0,1,1,0,0.02743
0,1,0,0,0,1,0,0,0.00177
0,1,0,0,1,0,1,1,0.1878
0,1,0,0,1,0,0,0,0.00079
0,1,0,0,1,1,1,0,0.00515
0,1,0,0,1,1,0,0,0.07363
0,0,1,0,0,0,1,1,0.44856
0,0,1,0,0,0,0,0,0.00359
0,0,1,0,0,1,1,0,0.01787
0,0,1,0,0,1,0,1,0.43036
0,0,1,0,1,0,1,0,0.05572
0,0,1,0,1,0,0,0,0.00303
0,0,1,0,1,1,1,0,0.00494
0,0,0,1,1,1,0,0,0.02576
0,0,0,1,0,0,1,0,0.00157
0,0,0,1,0,0,0,0,0.0017
0,0,0,1,0,1,1,1,0.53755
0,0,0,1,0,1,0,1,0.55767
0,0,0,1,1,0,1,0,0.05477
0,0,0,1,1,0,0,0,0.00214
0,0,0,1,1,1,1,0,0.0022
0,0,0,1,1,1,0,0,0.00952
1,0,0,0,0,0,1,1,0.19799
1,0,0,0,0,0,0,0,0.00438
1,0,0,0,0,1,1,0,0.07714
1,0,0,0,0,1,0,0,0.00055
1,0,0,0,1,0,1,0,0.01447
1,0,0,0,1,0,0,0,0.00054
1,0,0,0,1,1,1,0,0.00083
1,0,0,0,1,1,0,0,0.0118
0,1,0,0,0,0,1,1,0.33266
0,1,0,0,0,0,0,0,0.00181
0,1,0,0,0,1,1,0,0.01985
0,1,0,0,0,1,0,0,0.00446
0,1,0,0,1,0,1,0,0.01237
0,1,0,0,1,0,0,0,0.13623
0,1,0,0,1,1,1,0,0.00105
0,1,0,0,1,1,0,0,0.01702
0,0,1,0,0,0,1,0,0.0078
0,0,1,0,0,0,0,0,0.00185
0,0,1,0,0,1,1,0,0.0037
0,0,1,0,0,1,0,1,0.4142
0,0,1,0,1,0,1,0,0.08578
0,0,1,0,1,0,0,0,0.00191
0,0,1,0,1,1,1,0,0.00083
0,0,0,1,1,1,0,0,0.00213
0,0,0,1,0,0,1,1,0.63892
0,0,0,1,0,0,0,0,0.00948
0,0,0,1,0,1,1,1,0.52104
0,0,0,1,0,1,0,1,0.23868
0,0,0,1,1,0,1,1,0.56621
0,0,0,1,1,0,0,0,0.03346
0,0,0,1,1,1,1,1,0.36553
0,0,0,1,1,1,0,0,0.1198
1,0,0,0,0,0,1,0,0.00072
1,0,0,0,0,0,0,0,0.0486
1,0,0,0,0,1,1,1,0.42679
1,0,0,0,0,1,0,0,0.03045
1,0,0,0,1,0,1,1,0.45536
1,0,0,0,1,0,0,1,0.16493
1,0,0,0,1,1,1,0,0.01325
1,0,0,0,1,1,0,1,0.12176
0,1,0,0,0,0,1,1,0.44219
0,1,0,0,0,0,0,0,0.01305
0,1,0,0,0,1,1,1,0.18035
0,1,0,0,0,1,0,0,0.10324
0,1,0,0,1,0,1,0,0.12695
0,1,0,0,1,0,0,0,0.05515
0,1,0,0,1,1,1,0,0.00048
0,1,0,0,1,1,0,0,0.00048
0,0,1,0,0,0,1,0,0.0089
0,0,1,0,0,0,0,0,0.00069
0,0,1,0,0,1,1,0,0.00058
0,0,1,0,0,1,0,1,0.24198
0,0,1,0,1,0,1,1,0.28733
0,0,1,0,1,0,0,1,0.19411
0,0,1,0,1,1,1,0,0.0209
0,0,0,1,1,1,0,0,0.01105
0,0,0,1,0,0,1,0,0.00874
0,0,0,1,0,0,0,0,0.14185
0,0,0,1,0,1,1,0,0.00144
0,0,0,1,0,1,0,0,0.068
0,0,0,1,1,0,1,1,0.34043
0,0,0,1,1,0,0,0,0.07122
0,0,0,1,1,1,1,0,0.02837
0,0,0,1,1,1,0,0,0.10651
1,0,0,0,0,0,1,1,0.48162
1,0,0,0,0,0,0,0,0.01855
1,0,0,0,0,1,1,0,0.09254
1,0,0,0,0,1,0,0,0.00944
1,0,0,0,1,0,1,0,0.00188
1,0,0,0,1,0,0,1,0.17427
1,0,0,0,1,1,1,0,0.06996
1,0,0,0,1,1,0,0,0.03787
0,1,0,0,0,0,1,0,0.07231
0,1,0,0,0,0,0,0,0.01222
0,1,0,0,0,1,1,1,0.43662
0,1,0,0,0,1,0,0,0.0916
0,1,0,0,1,0,1,0,0.0132
0,1,0,0,1,0,0,0,0.01857
0,1,0,0,1,1,1,0,0.00051
0,1,0,0,1,1,0,0,0.00072
0,0,1,0,0,0,1,0,0.00378
0,0,1,0,0,0,0,0,0.00609
0,0,1,0,0,1,1,0,0.07253
0,0,1,0,0,1,0,1,0.33671
0,0,1,0,1,0,1,0,0.00751
0,0,1,0,1,0,0,0,0.00585
0,0,1,0,1,1,1,0,0.00955
0,0,0,1,1,1,0,0,0.00316
0,0,0,1,0,0,1,0,0.09289
0,0,0,1,0,0,0,0,0.00289
0,0,0,1,0,1,1,0,0.00298
0,0,0,1,0,1,0,0,0.00585
0,0,0,1,1,0,1,0,0.00109
0,0,0,1,1,0,0,0,0.002
0,0,0,1,1,1,1,0,0.00721
0,0,0,1,1,1,0,0,0.1198
1,0,0,0,0,0,1,0,0.10642
1,0,0,0,0,0,0,0,0.00846
1,0,0,0,0,1,1,1,0.42679
1,0,0,0,0,1,0,0,0.00884
1,0,0,0,1,0,1,1,0.2363
1,0,0,0,1,0,0,0,0.08187
1,0,0,0,1,1,1,0,0.03285
1,0,0,0,1,1,0,0,0.03332
0,1,0,0,0,0,1,0,0.00092
0,1,0,0,0,0,0,0,0.01487
0,1,0,0,0,1,1,0,0.0006
0,1,0,0,0,1,0,0,0.10324
0,1,0,0,1,0,1,0,0.12695
0,1,0,0,1,0,0,0,0.00295
0,1,0,0,1,1,1,0,0.01677
0,1,0,0,1,1,0,0,0.00288
0,0,1,0,0,0,1,0,0.01712
0,0,1,0,0,0,0,1,0.51839
0,0,1,0,0,1,1,0,0.04129
0,0,1,0,0,1,0,0,0.0346
0,0,1,0,1,0,1,0,0.00188
0,0,1,0,1,0,0,0,0.02995
0,0,1,0,1,1,1,0,0.00101
0,0,0,1,1,1,0,0,0.00125
0,0,0,1,0,0,1,0,0.24007
0,0,0,1,0,0,0,1,0.35271
0,0,0,1,0,1,1,1,0.30079
0,0,0,1,0,1,0,0,0.00203
0,0,0,1,1,0,1,0,0.06602
0,0,0,1,1,0,0,1,0.48751
0,0,0,1,1,1,1,0,0.0077
0,0,0,1,1,1,0,0,0.00291
