Capacity,InvT,time,SOC
100.00,0.003533569,0,90
99.98,0.003533569,34,90
94.17,0.003533569,114,90
91.91,0.003533569,194,90
98.47,0.003533569,244,90
92.46,0.003533569,325,90
93.28,0.003533569,419,90
100.00,0.003355705,0,50
95.93,0.003355705,36,50
97.73,0.003355705,114,50
94.34,0.003355705,194,50
102.21,0.003355705,242,50
96.91,0.003355705,320,50
99.52,0.003355705,380,50
101.27,0.003355705,421,50
100.00,0.003355705,0,90
95.27,0.003355705,44,90
96.34,0.003355705,115,90
93.28,0.003355705,197,90
91.92,0.003355705,248,90
99.43,0.003355705,326,90
96.23,0.003355705,376,90
90.37,0.003355705,419,90
100.00,0.003355705,0,100
96.10,0.003355705,40,100
93.75,0.003355705,119,100
99.33,0.003355705,190,100
98.22,0.003355705,249,100
92.25,0.003355705,321,100
98.68,0.003355705,418,100
100.60,0.003355705,374,100
100.00,0.003144654,0,10
101.86,0.003144654,246,10
98.86,0.003144654,193,10
102.42,0.003144654,321,10
96.32,0.003144654,375,10
104.12,0.003144654,419,10
100.00,0.003144654,0,50
101.99,0.003144654,35,50
99.58,0.003144654,114,50
101.63,0.003144654,195,50
95.34,0.003144654,250,50
95.39,0.003144654,325,50
96.06,0.003144654,374,50
89.96,0.003144654,419,50
100.00,0.003144654,0,90
95.25,0.003144654,39,90
94.06,0.003144654,116,90
96.24,0.003144654,194,90
89.30,0.003144654,245,90
96.45,0.003144654,325,90
89.41,0.003144654,374,90
94.51,0.003144654,418,90
100.00,0.003144654,0,100
100.01,0.003144654,45,100
99.35,0.003144654,115,100
98.84,0.003144654,188,100
89.76,0.003144654,249,100
92.11,0.003144654,323,100
94.51,0.003144654,377,100
88.63,0.003144654,419,100
100.00,0.00304878,0,90
99.06,0.00304878,44,90
93.81,0.00304878,114,90
90.84,0.00304878,182,90
93.65,0.00304878,251,90
93.76,0.00304878,319,90
87.18,0.00304878,375,90
90.35,0.00304878,417,90
100.00,0.00304878,0,100
99.06,0.00304878,42,100
88.89,0.00304878,116,100
88.33,0.00304878,254,100
85.71,0.00304878,329,100
85.12,0.00304878,375,100
86.43,0.00304878,420,100
100.00,0.003003003,0,90
97.39,0.003003003,37,90
89.99,0.003003003,114,90
93.29,0.003003003,197,90
90.46,0.003003003,322,90
86.43,0.003003003,377,90
83.19,0.003003003,419,90
