x1,x2,x3,x4,x5,h
4.344,1.881,0.146,2.951,8.652,458
8.359,1.6786,0.775,3.066,2.179,68
9.939,4.389,0.048,3.525,4.06,158
4.742,2.904,0.216,4.001,2.313,78
8.755,4.0876,0.675,4.613,7.85,385
6.133,0.869,0.37,3.455,10.534,555
7.035,1.628,0.611,3.094,4.094,159
3.885,0.8316,0.049,0.686,0.951,32
7.365,2.0856,0.962,4.652,6.758,277
8.749,3.564,0.919,4.288,4.395,170
6.774,4.1756,0.485,1.505,6.375,320
5.643,1.9316,0.048,4.645,6.796,284
9.751,1.4806,0.691,2.041,3.661,158
4.199,3.124,0.646,3.56,7.229,291
5.947,3.113,0.063,2.247,5.416,231
5.451,2.1956,0.65,1.96,3.384,124
8.452,0.836,0.616,4.802,3.798,147
5.776,2.992,0.814,3.969,6.341,239
5.961,1.067,0.398,1.306,3.109,120
9.816,0.8536,1.014,2.191,7.05,419
7.086,3.773,0.852,3.182,1.096,34
4.18,2.057,0.327,2.121,3.904,152
6.289,2.7676,0.366,2.156,2.799,97
4.612,3.6256,0.33,2.8,7.015,335
9.56,3.3176,0.364,5.194,1.049,32
9.937,2.3716,0.585,4.519,1.613,52
6.141,4.103,0.641,2.037,1.001,32
8.913,1.188,0.263,0.879,4.737,237
5.776,3.1966,0.989,0.683,4.026,178
