Time,Target
0,0
0.2,0
0.4,0
0.6,0
0.8,0
1,0
1.2,0
1.4,0
1.6,0
1.8,0
2,0
2.2,0.479186342
2.4,0.787721127
2.6,1.005157988
2.8,1.146624697
3,1.444042304
3.2,1.550548049
3.4,1.935365237
3.6,1.984832674
3.8,2.173464869
4,2.514747058
4.2,2.623772285
4.4,2.832345157
4.6,3.09250369
4.8,3.099209241
5,3.389171933
5.2,3.589114966
5.4,3.671704615
5.6,3.728580106
5.8,3.960951254
6,4.153721296
6.2,4.144898202
6.4,4.305507181
6.6,4.49444697
6.8,4.635594191
7,4.746090482
7.2,4.872329576
7.4,4.930810222
7.6,5.03677916
7.8,5.118354956
8,5.295531538
8.2,5.327171873
8.4,5.409170385
8.6,5.603191694
8.8,5.655614328
9,5.795514658
